"age","sex","ndepchld","wage","working","married","wage_ln","educ"
52,"female",0,659.340637207031,1,1,6.49124050140381,10
60,"female",0,NA,0,1,NA,10
36,"female",1,NA,0,1,NA,17
34,"female",2,NA,0,1,NA,13
37,"female",2,NA,0,1,NA,16
36,"female",3,875.664306640625,1,1,6.77498292922974,13
41,"female",1,2522.05126953125,1,1,7.83282804489136,11
41,"female",2,549.450561523438,1,1,6.30891895294189,11
37,"female",2,641.02197265625,1,1,6.46306371688843,13
38,"female",1,783.384643554688,1,1,6.66362380981445,13
57,"female",0,1318.68127441406,1,1,7.18438768386841,9
37,"female",1,1226.07690429688,1,1,7.11157464981079,19
51,"female",0,890.10986328125,1,1,6.79134511947632,11
55,"female",0,599.400573730469,1,1,6.39593029022217,11
33,"female",2,336.207702636719,1,1,5.81772899627686,14
39,"female",2,NA,0,1,NA,17
60,"female",0,NA,0,1,NA,10
61,"female",0,1435.8974609375,1,1,7.26954555511475,11
35,"female",0,NA,0,1,NA,20
55,"female",0,592.515563964844,1,1,6.38437700271606,12
47,"female",0,NA,0,1,NA,13
24,"female",0,1138.0400390625,1,1,7.0370626449585,13
30,"female",1,500,1,1,6.21460819244385,11
58,"female",0,1136.36364746094,1,1,7.03558874130249,17
59,"female",0,NA,0,1,NA,12
31,"female",1,1333.33337402344,1,1,7.19543743133545,18
41,"female",2,1025.64099121094,1,1,6.93307304382324,14
62,"female",0,NA,0,1,NA,13
57,"female",0,834.615356445312,1,1,6.72697114944458,17
56,"female",0,1140,1,1,7.03878355026245,16
39,"female",2,412.087921142578,1,1,6.02123689651489,12
48,"female",0,717.255737304688,1,1,6.57543230056763,12
58,"female",0,NA,0,1,NA,10
55,"female",0,601.242858886719,1,1,6.39899873733521,10
40,"female",2,625,1,1,6.43775177001953,12
48,"female",0,500,1,1,6.21460819244385,10
43,"female",2,1442.30773925781,1,1,7.27399969100952,20
37,"female",4,NA,0,1,NA,17
63,"female",0,NA,0,1,NA,10
65,"female",0,NA,0,1,NA,15
53,"female",2,573.317321777344,1,1,6.35143947601318,11
36,"female",3,NA,0,1,NA,20
40,"female",2,490.384613037109,1,1,6.19518995285034,11
19,"female",0,506.072875976562,1,1,6.22668075561523,13
34,"female",2,631.578918457031,1,1,6.44822311401367,14
62,"female",0,390.909088134766,1,1,5.96847486495972,10
49,"female",0,NA,0,1,NA,10
67,"female",0,NA,0,1,NA,13
39,"female",1,333.333343505859,1,1,5.80914306640625,16
37,"female",2,NA,0,1,NA,13
64,"female",0,NA,0,1,NA,11
31,"female",2,683.076904296875,1,1,6.52660751342773,13
41,"female",3,492.307678222656,1,1,6.19910383224487,13
53,"female",0,692.307678222656,1,1,6.54003047943115,13
37,"female",1,NA,0,1,NA,11
42,"female",1,413.636352539062,1,1,6.02498722076416,12
30,"female",2,600,1,1,6.39692974090576,13
51,"female",0,461.538452148438,1,1,6.13456535339355,10
46,"female",0,659.340637207031,1,1,6.49124050140381,10
68,"female",0,NA,0,1,NA,9
34,"female",0,NA,0,1,NA,11
55,"female",0,540,1,1,6.29156923294067,11
27,"female",0,748.440734863281,1,1,6.61799192428589,19
32,"female",2,NA,0,1,NA,11
25,"female",1,714.285705566406,1,1,6.57128286361694,11
62,"female",0,NA,0,1,NA,11
64,"female",0,NA,0,1,NA,10
62,"female",0,NA,0,1,NA,12
47,"female",0,500,1,1,6.21460819244385,11
58,"female",0,804.1025390625,1,1,6.68972682952881,12
66,"female",0,NA,0,1,NA,10
43,"female",0,578.947387695312,1,1,6.3612117767334,11
60,"female",0,NA,0,1,NA,10
64,"female",0,NA,0,1,NA,10
38,"female",2,423.076934814453,1,1,6.04755401611328,12
48,"female",1,NA,0,1,NA,13
40,"female",4,824.175842285156,1,1,6.71438407897949,11
60,"female",0,NA,0,1,NA,10
50,"female",1,1153.84619140625,1,1,7.05085611343384,17
49,"female",2,NA,0,1,NA,18
69,"female",0,NA,0,1,NA,10
63,"female",0,NA,0,1,NA,11
46,"female",2,1236.26379394531,1,1,7.11984920501709,16
45,"female",1,798.461547851562,1,1,6.6826868057251,12
35,"female",2,837.062927246094,1,1,6.72989940643311,13
62,"female",0,NA,0,1,NA,11
36,"female",1,998.461547851562,1,1,6.90621566772461,10
67,"female",0,NA,0,1,NA,10
64,"female",0,NA,0,1,NA,15
50,"female",0,678.733032226562,1,1,6.52022790908813,10
46,"female",0,803.076904296875,1,1,6.6884503364563,10
53,"female",0,589.966552734375,1,1,6.38006591796875,11
31,"female",3,NA,0,1,NA,12
42,"female",1,566.666687011719,1,1,6.33977127075195,11
36,"female",2,NA,0,1,NA,11
61,"female",0,NA,0,1,NA,21
60,"female",0,NA,0,1,NA,10
56,"female",0,700.265258789062,1,1,6.55145931243896,11
51,"female",1,NA,0,1,NA,10
34,"female",5,1125.876953125,1,1,7.02631759643555,14
67,"female",0,300,1,1,5.70378255844116,10
46,"female",0,769.230773925781,1,1,6.64539098739624,16
51,"female",0,237.837844848633,1,1,5.47158908843994,12
27,"female",1,552.380981445312,1,1,6.31423807144165,11
39,"female",3,562.5,1,1,6.33239126205444,11
43,"female",1,NA,0,1,NA,14
47,"female",1,1846.15380859375,1,1,7.52085971832275,17
35,"female",2,1538.46154785156,1,1,7.33853816986084,12
54,"female",0,475.707702636719,1,1,6.16480350494385,11
34,"female",4,NA,0,1,NA,17
46,"female",1,1221.38842773438,1,1,7.10774374008179,17
57,"female",0,1370.19226074219,1,1,7.22270631790161,16
35,"female",2,NA,0,1,NA,11
43,"female",2,692.685791015625,1,1,6.54057645797729,13
35,"female",3,NA,0,1,NA,11
35,"female",3,904.365905761719,1,1,6.8072338104248,16
55,"female",0,673.076904296875,1,1,6.51185941696167,10
55,"female",0,NA,0,1,NA,17
51,"female",0,NA,0,1,NA,9
36,"female",2,NA,0,1,NA,11
48,"female",2,366.923065185547,1,1,5.90515232086182,10
54,"female",0,NA,0,1,NA,18
46,"female",2,540,1,1,6.29156923294067,12
28,"female",0,2596.15380859375,1,1,7.86178636550903,18
52,"female",0,400,1,1,5.99146461486816,11
64,"female",0,NA,0,1,NA,11
54,"female",0,820.512817382812,1,1,6.70992946624756,11
25,"female",2,NA,0,1,NA,11
69,"female",0,NA,0,1,NA,10
56,"female",0,967.307678222656,1,1,6.87451648712158,11
43,"female",1,576.923095703125,1,1,6.35770893096924,10
33,"female",0,948.717956542969,1,1,6.85511159896851,13
65,"female",0,NA,0,1,NA,10
51,"female",0,NA,0,1,NA,10
46,"female",1,450,1,1,6.10924768447876,11
52,"female",0,NA,0,1,NA,10
43,"female",1,1945.05493164062,1,1,7.57304573059082,11
49,"female",0,541.208801269531,1,1,6.29380512237549,13
62,"female",0,NA,0,1,NA,10
41,"female",1,423.53076171875,1,1,6.04862594604492,12
65,"female",0,410.256408691406,1,1,6.01678228378296,10
41,"female",2,NA,0,1,NA,13
53,"female",0,615.384643554688,1,1,6.42224740982056,11
26,"female",2,702.702697753906,1,1,6.55493402481079,12
47,"female",1,NA,0,1,NA,10
67,"female",0,NA,0,1,NA,10
68,"female",0,NA,0,1,NA,10
26,"female",1,NA,0,1,NA,11
41,"female",0,NA,0,1,NA,10
47,"female",0,1000,1,1,6.90775537490845,11
57,"female",0,NA,0,1,NA,10
58,"female",0,NA,0,1,NA,11
43,"female",0,NA,0,1,NA,11
52,"female",0,634.615356445312,1,1,6.45301914215088,11
43,"female",0,1246.15380859375,1,1,7.12781715393066,11
55,"female",0,631.578918457031,1,1,6.44822311401367,10
41,"female",2,631.578918457031,1,1,6.44822311401367,12
41,"female",2,500,1,1,6.21460819244385,11
24,"female",4,466.666656494141,1,1,6.1456151008606,11
38,"female",2,NA,0,1,NA,10
40,"female",2,629.629638671875,1,1,6.44513177871704,11
49,"female",0,853.333312988281,1,1,6.74915027618408,10
31,"female",1,748.440734863281,1,1,6.61799192428589,13
38,"female",3,NA,0,1,NA,10
25,"female",4,NA,0,1,NA,14
27,"female",1,1060.291015625,1,1,6.96629858016968,17
45,"female",2,NA,0,1,NA,8
48,"female",2,NA,0,1,NA,12
58,"female",0,NA,0,1,NA,11
66,"female",0,NA,0,1,NA,11
48,"female",1,NA,0,1,NA,10
65,"female",0,NA,0,1,NA,10
25,"female",2,513.157897949219,1,1,6.2405834197998,11
66,"female",0,NA,0,1,NA,9
44,"female",1,1282.05126953125,1,1,7.15621662139893,13
48,"female",0,1607.53845214844,1,1,7.38245916366577,16
37,"female",1,956.923095703125,1,1,6.8637228012085,16
45,"female",1,461.538452148438,1,1,6.13456535339355,12
37,"female",2,1777.77783203125,1,1,7.48311948776245,13
40,"female",2,1062.75305175781,1,1,6.96861791610718,16
33,"female",2,787.179504394531,1,1,6.66845607757568,11
39,"female",1,441.176483154297,1,1,6.08944511413574,12
50,"female",1,600,1,1,6.39692974090576,9
26,"female",0,512.820495605469,1,1,6.23992586135864,18
52,"female",0,417.307678222656,1,1,6.03382396697998,10
55,"female",1,NA,0,1,NA,10
43,"female",2,1060.291015625,1,1,6.96629858016968,11
35,"female",7,NA,0,1,NA,11
23,"female",1,NA,0,1,NA,9
59,"female",0,NA,0,1,NA,10
36,"female",1,500,1,1,6.21460819244385,13
59,"female",0,NA,0,1,NA,10
69,"female",0,NA,0,1,NA,10
49,"female",0,NA,0,1,NA,11
